path,file_type,area,category,deep_reviewed,feature_mapping,live_mock_static_stub,notes
src/main.tsx,source_executable,frontend,entry_point,true,app_bootstrap,implemented_live,Renders App into #root; StrictMode wrapper
src/App.tsx,source_executable,frontend,entry_point,true,app_bootstrap,implemented_live,Wraps ThemeProvider+AuthProvider+SmoothScrollProvider+AppRouter; no Zustand
src/index.css,static_asset,frontend,styles,false,global_styles,implemented_live,Global CSS entry point for Tailwind
src/router/index.tsx,source_executable,frontend,routing,true,all_routes,implemented_live,createBrowserRouter; 40+ routes lazy-loaded; ProtectedRoute used
src/router/ProtectedRoute.tsx,source_executable,frontend,routing,true,auth_guard,implemented_mock_backed,Bypassed entirely when runtimeFlags.authBypassEnabled=true (defaults true)
src/context/AuthContext.tsx,source_executable,frontend,auth,true,authentication,implemented_mock_backed,4 hardcoded mock accounts; real API call path exists but mock path activated by default
src/context/ThemeContext.tsx,source_executable,frontend,theming,false,theme_toggle,implemented_live,next-themes wrapper
src/context/index.ts,source_support,frontend,auth,false,exports,implemented_live,Re-exports contexts
src/config/index.ts,source_support,frontend,config,true,app_config,implemented_live,Exports runtimeFlags + app config
src/config/runtime.flags.ts,source_support,frontend,config,true,auth_bypass,implemented_mock_backed,VITE_AUTH_BYPASS defaults to TRUE — bypass active unless explicitly disabled
src/config/routes.ts,source_support,frontend,config,false,routing,implemented_live,Route path constants
src/config/permissions.ts,source_support,frontend,config,false,rbac,implemented_live,Role-based permission constants
src/config/validation.schemas.ts,source_support,frontend,config,false,forms,implemented_live,Zod validation schemas for forms
src/constants/index.ts,source_support,frontend,constants,false,exports,implemented_live,Re-exports constants
src/constants/app.constants.ts,source_support,frontend,constants,false,api_storage_keys,implemented_live,API_CONSTANTS (base URL from env) and STORAGE_KEYS
src/constants/navigation.constants.ts,source_support,frontend,constants,false,navigation,implemented_live,Nav item definitions
src/constants/responsive.ts,source_support,frontend,constants,false,responsive,implemented_live,Breakpoint constants
src/services/api.service.ts,source_executable,frontend,api_client,true,all_api_calls,implemented_live,Custom fetch wrapper with circuit-breaker; reads VITE_API_URL
src/services/websocket.service.ts,source_executable,frontend,websocket,true,real_time,partially_wired,WS service implemented but not actively consumed by dashboard components
src/services/analytics.service.ts,source_executable,frontend,analytics,false,analytics,stubbed,Analytics service; VITE_ENABLE_ANALYTICS gates it
src/services/storage.service.ts,source_executable,frontend,storage,false,file_storage,implemented_live,Local/session storage abstraction
src/services/index.ts,source_support,frontend,exports,false,exports,implemented_live,Re-exports services
src/hooks/useDashboard.ts,source_executable,frontend,dashboard,true,dashboard_stats,partially_wired,Calls GET /users/dashboard via apiService; real API wiring
src/hooks/useDocumentTitle.ts,source_executable,frontend,ui,false,page_title,implemented_live,Sets document.title
src/hooks/use-mobile.ts,source_executable,frontend,responsive,false,mobile_detection,implemented_live,useMediaQuery hook
src/hooks/responsive.hooks.ts,source_executable,frontend,responsive,false,responsive,implemented_live,Responsive breakpoint hooks
src/hooks/advanced.hooks.ts,source_executable,frontend,ui,false,misc_hooks,implemented_live,Various utility hooks
src/layouts/MainLayout.tsx,source_executable,frontend,layout,false,public_pages,implemented_live,Navigation + Outlet + Footer for public pages
src/layouts/DashboardLayout.tsx,source_executable,frontend,layout,false,dashboard,implemented_live,Sidebar + Topbar layout for dashboard routes
src/layouts/AuthLayout.tsx,source_executable,frontend,layout,false,auth_pages,implemented_live,Minimal layout for login/signup
src/layouts/index.ts,source_support,frontend,exports,false,exports,implemented_live,Re-exports layouts
src/pages/SplashScreen.tsx,source_executable,frontend,public,false,splash,implemented_hardcoded_static,Animated splash; redirects to /home
src/pages/LandingPage.tsx,source_executable,frontend,public,true,landing,implemented_hardcoded_static,Assembles 9 feature components; all data hardcoded in components
src/pages/AboutPage.tsx,source_executable,frontend,public,false,about,implemented_hardcoded_static,About page; all data hardcoded in feature components
src/pages/BusinessPage.tsx,source_executable,frontend,public,false,business,implemented_hardcoded_static,Business solutions page; hardcoded content
src/pages/CorporatePage.tsx,source_executable,frontend,public,false,corporate,implemented_hardcoded_static,Corporate wellness page; hardcoded content
src/pages/BlogsPage.tsx,source_executable,frontend,public,true,blog_listing,implemented_hardcoded_static,Blog list; 12 hardcoded posts; search/filter local only; no API
src/pages/BlogPostPage.tsx,source_executable,frontend,public,false,blog_detail,implemented_hardcoded_static,Single blog post; hardcoded content; TODO comments present
src/pages/CoursesPage.tsx,source_executable,frontend,public,true,courses,implemented_hardcoded_static,Thin wrapper around CoursesProgramsPage feature
src/pages/CourseDetailsPage.tsx,source_executable,frontend,public,false,course_detail,implemented_hardcoded_static,Course detail page; hardcoded data
src/pages/CareerPage.tsx,source_executable,frontend,public,false,careers,implemented_hardcoded_static,Careers listing; hardcoded job listings
src/pages/ContactPage.tsx,source_executable,frontend,public,true,contact,implemented_hardcoded_static,Contact form UI; submission not confirmed API-wired
src/pages/StudentCounsellingPage.tsx,source_executable,frontend,public,false,student_counselling,implemented_hardcoded_static,Student counselling info page; hardcoded
src/pages/WorkshopDemoPage.tsx,source_executable,frontend,public,false,workshop,implemented_hardcoded_static,Workshop demo page; hardcoded
src/pages/StudentCounsellingDemoPage.tsx,source_executable,frontend,public,false,student_counselling_demo,implemented_hardcoded_static,Demo page; hardcoded
src/pages/NotFoundPage.tsx,source_executable,frontend,public,false,404,implemented_hardcoded_static,404 page; TODO comment present
src/pages/DashboardPage.tsx,source_executable,frontend,dashboard,true,dashboard_home,partially_wired,Uses useDashboard hook (real API); quick actions hardcoded; widgets mixed
src/pages/auth/LoginPage.tsx,source_executable,frontend,auth,false,login,implemented_mock_backed,LoginForm; mock auth active by default via AuthContext
src/pages/auth/SignupPage.tsx,source_executable,frontend,auth,true,signup,implemented_mock_backed,Calls real API but mock mode active; apiService used
src/pages/dashboard/MoodPage.tsx,source_executable,frontend,dashboard,true,mood_tracking,partially_wired,apiService → GET/POST /health-tools/mood; real wiring
src/pages/dashboard/JournalPage.tsx,source_executable,frontend,dashboard,true,journaling,partially_wired,apiService → GET/POST /health-tools/journal; real wiring
src/pages/dashboard/MeditationPage.tsx,source_executable,frontend,dashboard,true,meditation,partially_wired,apiService → GET/POST /health-tools/meditation; timer UI present
src/pages/dashboard/NotificationsPage.tsx,source_executable,frontend,dashboard,true,notifications,partially_wired,apiService → GET /notifications; real wiring
src/pages/dashboard/ProfilePage.tsx,source_executable,frontend,dashboard,true,user_profile,partially_wired,apiService → GET/PUT /users/profile + upload /users/avatar; real wiring
src/pages/dashboard/SettingsPage.tsx,source_executable,frontend,dashboard,true,settings,partially_wired,apiService → settings endpoints; toggle settings UI
src/pages/dashboard/SessionsPage.tsx,source_executable,frontend,dashboard,true,therapy_booking,implemented_hardcoded_static,Upcoming sessions UI; therapist cards hardcoded; no API calls confirmed
src/pages/dashboard/ConnectionsPage.tsx,source_executable,frontend,dashboard,true,social_connections,implemented_hardcoded_static,Match cards; all mock data; no API calls
src/pages/dashboard/ConfessionalPage.tsx,source_executable,frontend,dashboard,true,confessional,partially_wired,apiService → /health-tools/journal filtered; real wiring
src/pages/dashboard/ConstellationPage.tsx,source_executable,frontend,dashboard,false,constellation_map,frontend_only,Delegates to ConstellationPage feature; local state canvas
src/pages/dashboard/PractitionerDashboard.tsx,source_executable,frontend,practitioner_dashboard,false,practitioner,partially_wired,Route /practitioner in router; uses PractitionerDashboard feature
src/pages/dashboard/TodaysSessionsPage.tsx,source_executable,frontend,practitioner_dashboard,false,practitioner_sessions,stubbed,Practitioner sessions list; likely hardcoded
src/pages/dashboard/MyClientsPage.tsx,source_executable,frontend,practitioner_dashboard,false,practitioner_clients,stubbed,Client list page; likely hardcoded
src/pages/dashboard/ManageAvailabilityPage.tsx,source_executable,frontend,practitioner_dashboard,false,practitioner_availability,stubbed,Availability calendar; likely hardcoded
src/pages/dashboard/EditProfilePage.tsx,source_executable,frontend,practitioner_dashboard,false,practitioner_profile,stubbed,Edit practitioner profile
src/pages/dashboard/LogoutPage.tsx,source_executable,frontend,auth,false,logout,implemented_live,Logout handler page
src/pages/dashboard/AstrologyDashboard.tsx,source_executable,frontend,astrology_dashboard,false,astrology,implemented_hardcoded_static,Astrology dashboard; hardcoded content
src/pages/dashboard/AdminDashboard.tsx,source_executable,frontend,admin,true,admin,implemented_hardcoded_static,Admin metrics hardcoded; no real API; tab navigation UI only
src/pages/practitioner/PractitionerDashboard.tsx,source_executable,frontend,practitioner_dashboard,true,practitioner,duplicate,ORPHANED - not in router; duplicate of dashboard/PractitionerDashboard; hardcoded mock data
src/features/landing/components/HeroSection.tsx,source_executable,frontend,landing,false,landing_hero,implemented_hardcoded_static,Hero with CTA; images from public/; hardcoded text
src/features/landing/components/StatsSection.tsx,source_executable,frontend,landing,true,landing_stats,implemented_hardcoded_static,Count-up animation; hardcoded numbers (150K users etc)
src/features/landing/components/WellnessSection.tsx,source_executable,frontend,landing,false,landing_wellness,implemented_hardcoded_static,Hardcoded wellness service cards
src/features/landing/components/ServicesSection.tsx,source_executable,frontend,landing,false,landing_services,implemented_hardcoded_static,Hardcoded service offerings
src/features/landing/components/HowItWorksSection.tsx,source_executable,frontend,landing,false,landing_how_it_works,implemented_hardcoded_static,3-step explanation; hardcoded
src/features/landing/components/SoulBotSection.tsx,source_executable,frontend,landing,false,ai_bot,implemented_hardcoded_static,Soul Bot feature promo; hardcoded; no actual chat wiring
src/features/landing/components/CorporateSection.tsx,source_executable,frontend,landing,false,corporate_cta,implemented_hardcoded_static,Corporate wellness CTA; hardcoded
src/features/landing/components/FAQSection.tsx,source_executable,frontend,landing,false,faq,implemented_hardcoded_static,FAQ accordion; hardcoded Q&A
