page,cta_type,label,placement,visual_priority,clarity_score,desirability_score,contrast_score,accessibility_score,current_state,improvement_needed,recommendation
LandingPage,primary,"Get Started",Hero section,high,75,70,80,unknown,good,"Make more specific (e.g., 'Start Your Journey Free'); add urgency; test color variants"
LandingPage,primary,"Book a Session",Services section,high,75,65,80,unknown,partial,"Backend stubbed - remove or mark 'Coming Soon'; add pricing context"
LandingPage,secondary,"Learn More",Multiple sections,medium,70,60,75,unknown,good,"Add specific value proposition; link to relevant content"
LandingPage,tertiary,"View Plans",CTA section,medium,65,60,70,unknown,fair,"Add pricing preview; strengthen value proposition"
LoginPage,primary,"Login",Form submit,high,90,85,85,unknown,excellent,"Add password visibility toggle; improve error states"
LoginPage,secondary,"Continue with Google",OAuth section,medium,85,80,80,unknown,good,"Add Microsoft OAuth; clarify data usage"
LoginPage,secondary,"Continue with Apple",OAuth section,medium,85,80,80,unknown,good,"Properly implement OAuth flow"
LoginPage,tertiary,"Forgot Password?",Form helper,low,80,75,75,unknown,fair,"Non-functional - implement password reset flow"
SignupPage,primary,"Create Account",Form submit,high,85,80,85,unknown,good,"Add password requirements inline; improve validation feedback"
SignupPage,secondary,"Continue with Google",OAuth section,medium,80,75,80,unknown,good,"Implement full OAuth flow"
SignupPage,secondary,"Continue with Apple",OAuth section,medium,80,75,80,unknown,good,"Implement full OAuth flow"
SignupPage,navigation,"Next Step",Multi-step form,high,80,75,80,unknown,good,"Add progress indicator; show step summary"
JourneyPreparationPage,primary,"Begin Journey",Onboarding complete,high,75,70,80,unknown,good,"Add celebration animation; clarify next steps"
DashboardPage,primary,"Track Mood",Quick actions,high,80,75,80,unknown,good,"Add mood trend preview; improve icon clarity"
DashboardPage,primary,"Write Journal",Quick actions,high,80,75,80,unknown,good,"Show last entry preview; add streak indicator"
DashboardPage,primary,"Meditate",Quick actions,high,80,75,80,unknown,good,"Show today's meditation; add streak"
DashboardPage,secondary,"View All Sessions",Sessions widget,medium,70,60,75,unknown,fair,"Backend stubbed - show empty state or remove"
DashboardPage,secondary,"Find Matches",Connections widget,medium,65,55,70,unknown,poor,"Matching not implemented - remove or mark 'Coming Soon'"
MoodPage,primary,"Save Mood",Form submit,high,85,80,85,unknown,excellent,"Add mood insights after save; suggest activities"
MoodPage,secondary,"View History",Navigation,medium,80,75,80,unknown,good,"Add chart preview; improve date filtering"
JournalPage,primary,"New Entry",Navigation,high,85,80,85,unknown,excellent,"Add writing prompts; show last entry preview"
JournalPage,primary,"Save Entry",Form submit,high,85,80,85,unknown,excellent,"Add auto-save; improve formatting options"
